stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,5.35,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,2.68,1.34,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,1.34,0,0,1.34,0,9.37,0,0,0,0
3Month,0.32,0.32,0.96,6.72,0,0,1.6,1.92,10.88,3.84,0.64,3.84,0.32,3.84,2.24,2.24,0.64,0.32,2.24,1.92,0.64,0,0.64,0,0,2.88,341.07,0.32,1.28,337.87,1.92
22Month,0,0,0,2.19,0,0,0,1.64,8.2,0,0,0.55,0,0,1.09,1.09,0,0,0,0,0,0,0,1.64,0,0,62.32,0,0,0.55,0
