stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,16.35,44.95,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,2.14,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,145.49,3.21,8.56,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,10.71,0,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,95.04,1.34,16.06,0,2.68,10.71,1.34,0,2.68,4.02,1.34,0,0,0
3Month,0.32,0.32,0.64,7.68,0,0.32,0,0.32,0.64,0.32,11.2,5.76,4.8,2.24,7.04,1.6,9.28,3.2,0.32,0.32,2.24,7.04,0.32,282.52,0.64,0,0.96,19.52,1.6,0,0,0,0.96,15.36,3.52
22Month,0,0.55,0.55,5.47,0,0,0.55,0,0.55,6.01,37.72,0.55,6.01,0,1.09,3.28,8.75,0.55,0.55,0.55,0,0,0,382.66,1.64,0.55,0,31.71,0,3.83,0,0,0,0,1.09
