stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,4.09,0,0,0,4.09,32.69,0,0,0
72hpf,0,0,0,0,0,0,2.14,0,0,1.07,1.07,3.21,6.42,0,0,0
21Day,0,4.02,4.02,0,1.34,0,0,0,1.34,1.34,0,0,2.68,1.34,0,0
3Month,0.32,0,0,0.96,0,0.64,0,0.64,0.32,0,0,0,0,0,0.96,1.6
