stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,8.17,0,4.09,16.35,0,0
72hpf,0,1.07,8.56,0,0,0,0,0,2.14,0,1.07,0,1.07,0,1.07,0
21Day,0,5.35,24.09,0,0,0,0,0,1.34,0,4.02,0,1.34,1.34,4.02,0
3Month,0.32,0.96,0,0.32,0.32,2.24,0,0.32,0.32,0.32,5.44,1.92,0,0,0,0.32
22Month,0,0.55,0,0,0,3.83,0.55,0,0,0,0.55,0,0,0,0,0
