stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,16.05,1.07,5.35,0,13.91,0,0,0,0,0,0,0,2.14,17.12,2.14,58.84,0,1.07,0,0,1204.58,126.24,0,31.02,0,0,9.63,0,0,0,0
21Day,14.72,1.34,6.69,0,9.37,0,1.34,0,0,1.34,0,2.68,4.02,12.05,1.34,135.19,0,0,4.02,0,397.54,41.49,1.34,6.69,21.42,0,6.69,8.03,0,0,1.34
3Month,0,0,0.96,0.32,0,0,0,0.64,0.96,0.64,0.32,1.28,0,0,0.32,40.31,1.92,0,0.64,0.64,0.32,0,0,4.16,0.96,4.16,0,0,0.64,1.92,0.32
22Month,0,0,0,0,0,0.55,0,0,0,1.64,0,0,0.55,0,0.55,2.73,0,0.55,0,0,0,0,0,0,1.09,2.19,0,0,0,0,0
