stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,16.35,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,24.52,40.86,8.17,0,0,0,0,49.04,4.09,0,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,9.63,1.07,13.91,0,1.07,0,0,0,0,0,0,1.07,0,1.07,41.72,1.07,6.42,2.14,0,2.14,19.26,9.63,1.07,0,0,5.35,0,0,1.07,4.28,0,0,0
21Day,1.34,0,0,9.37,0,21.42,0,18.74,0,0,1.34,0,2.68,1.34,17.4,2.68,0,12.05,6.69,5.35,0,0,0,10.71,0,0,0,0,1.34,0,0,1.34,2.68,0,0,10.71
3Month,0.32,1.92,1.6,32.31,0.32,0,0.64,5.12,0.32,3.52,12.48,0,50.23,8.32,2.56,26.88,4.8,12.48,29.76,10.88,0,0.32,6.4,0.64,0,2.88,0.32,0,0.32,2.56,18.88,0.32,2.88,3.2,1.92,36.15
22Month,0.55,2.73,1.64,14.21,0.55,0,1.09,4.37,0,1.09,14.21,3.83,100.58,2.19,5.47,21.87,1.64,6.56,20.23,3.28,0.55,0,0.55,1.09,0,1.64,0.55,0.55,0,0,8.2,0.55,1.09,0.55,0,16.4
