stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,429.07,0,0,0,0,265.62,535.32,0,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,0,20.33,13.91,0,0,0,0,1.07,0,0,0,1.07,0,13.91,27.81,2.14,66.33,0,0,0,1.07,308.1,44.93,0,0,0,41.72,0,0,2.14,5.35,0,0,0,0,0
21Day,18.74,5.35,1.34,72.28,4.02,0,2.68,0,0,0,1.34,2.68,0,8.03,10.71,4.02,28.11,5.35,117.79,0,0,2.68,0,190.07,24.09,0,4.02,0,33.46,6.69,0,2.68,1.34,5.35,4.02,1.34,0,0
3Month,0,0.64,0,7.04,0,0,0,0.32,0,1.92,0,14.08,1.6,0.64,1.6,0.64,3.2,1.92,8.64,0.32,0,0.64,0,0.64,0.32,0.32,0.32,0,0.32,0,0.32,7.04,0,0,0,0.64,0,0.64
22Month,1.64,11.48,11.48,17.49,0,3.28,1.09,0,3.28,8.75,7.11,1183.51,2.19,4.37,118.08,1.09,1.64,10.93,28.97,4.37,15.85,2.73,0.55,1.64,0,2.19,4.92,1.64,0.55,2.19,0,19.68,1.64,1.64,0,0.55,0.55,2.73
