stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,4.09,0,0,0,12.26,0,4.09,4.09,16.35,0,0,0
72hpf,1.07,1.07,0,0,0,14.98,1.07,0,1.07,1.07,2.14,0,0
21Day,0,18.74,0,0,1.34,5.35,0,0,1.34,0,0,0,0
3Month,0.32,1.6,0.32,0,0,0.96,0,0,0,0,0,0.32,1.6
22Month,0,0,0,1.09,0,0.55,0,0,0,0,0,0,0
