stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,12.26,4.09,0,0,0,4.09,40.86,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,5.35,2.14,3.21,0,0,0,0,0,0,0,0,0,0,3.21,7.49,1.07,8.56,0,0,1.07,60.98,18.19,1.07,0,10.7,2.14,0,4.28,0,0,0
21Day,2.68,1.34,1.34,33.46,2.68,10.71,0,2.68,0,0,0,0,0,0,1.34,1.34,1.34,17.4,5.35,9.37,0,2.68,0,18.74,10.71,0,0,5.35,1.34,0,1.34,0,0,4.02
3Month,0,1.28,0.64,24.96,0.32,0,0.64,0.32,2.24,6.08,0,0,13.12,12.16,1.6,4.16,0.64,8,15.36,5.12,1.92,1.28,1.6,0.32,0,1.28,0.32,0,1.6,1.28,0.32,1.6,1.92,3.52
22Month,0,1.64,2.73,7.65,0.55,0,0,0.55,1.09,10.93,1.09,0,36.08,2.19,0,3.28,0.55,1.64,11.48,4.92,0,0.55,0,1.09,0,1.64,0.55,0.55,1.09,1.64,0,0.55,0,2.19
