stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,4.09,20.43,0,12.26,0,0,0,0,73.56,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,23.54,2.14,0,0,0,0,3.21,7.49,0,0,0,0,0
21Day,0,0,0,8.03,0,0,1.34,0,0,0,0,1.34,2.68,1.34,2.68,0,0,0,1.34,1.34,0,0,0,0,5.35
3Month,0,0,0.32,30.4,0.32,0.32,4.8,2.56,39.67,0.32,1.6,1.6,2.24,2.24,0.96,0.32,0.64,0.64,0.96,0,15.04,0.32,0.32,0.32,7.04
22Month,0,0,0,2.19,0,0,6.01,7.11,7.65,0.55,1.64,0,0,6.56,1.09,0,0,0,0,0,1.09,0,0,0,3.28
