stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,4.09,0,77.64,0,0,0,4.09,12.26,12.26,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,4.28,0,5.35,48.14,3.21,18.19,0,0,0,0,0
21Day,0,0,2.68,1.34,0,0,0,0,0,0,0,1.34,1.34,2.68,1.34,0,0,0,36.14,1.34,5.35,1.34,0,2.68,0,1.34
3Month,0,0,1.28,0,0,0.32,0,0,5.12,0.32,0,0.64,1.28,0.32,5.12,0,0,0.32,1.28,0,0.32,0.64,2.56,0,0.32,0.32
22Month,0.55,0.55,1.64,0,0.55,0.55,2.19,2.73,49.75,1.64,1.09,3.83,0.55,2.73,2.19,2.73,0.55,0,0,0,1.09,0,7.65,0.55,0,1.64
