stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,1.34,0,0,0,14.72,0,2.68,8.03,10.71,0,0,0,12.05,4.02,0,0,0,0,2.68,0,1.34,1.34,5.35,0,0,0,0,0,0,0
3Month,0.32,0.96,6.72,0.32,0,0.32,0,1.28,291.79,0,14.72,147.18,2.24,2.88,0.64,0.96,63.03,2.56,0,1.28,0.64,0.96,0.32,0.32,0.64,0,4.8,0.32,2.56,0.32,0,1.28,2.88,1.6
22Month,1.64,1.09,4.37,0,0,1.09,0.55,2.73,614.99,3.28,79.81,110.97,3.83,6.56,0.55,1.09,82,3.83,2.19,1.09,0,0.55,0,0.55,0.55,0.55,2.73,0,3.28,1.09,1.64,0,0,2.19
