stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0
3Month,0,13.44,0,0.96,0.32,0,0.32,0,0.96,0,0,0,0.64,0.32
22Month,0.55,3.28,0.55,3.83,0.55,0,0,0.55,0,0,0,0.55,0,0
