stage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,4.09,0,0,0
72hpf,0,1.07,1.07,0,0,0
21Day,1.34,0,0,0,1.34,0
3Month,0,0,0,0.96,0,0.96
