stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,8.17,0,0,0,0,0,4.09,0,4.09,0,0,4.09,0,0,0,0,0,0,0
72hpf,6.42,0,0,0,0,0,0,2.14,0,3.21,0,1.07,0,0,0,0,0,0,0,0
21Day,2.68,0,0,0,0,2.68,0,0,0,0,2.68,2.68,1.34,0,1.34,0,1.34,0,0,0
3Month,7.68,0.32,0,0.96,1.6,0,0.64,0.32,0.96,1.6,0,0.32,0,0.32,0,0.96,0,7.68,0.32,0
22Month,10.39,0.55,0.55,6.56,1.09,0,1.09,0,5.47,1.64,0,0.55,0,0,0,0,0.55,1.64,0,0.55
