stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,3.21,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,1.34,2.68,0,0,1.34,0,0,1.34,0,0,0,0
3Month,0.32,0.32,9.92,0.64,0,0.32,0.32,3.2,2.56,0,29.76,1.6,0.96,13.76,1.28,3.84,0.96,2.56,1.6,0,0.96,1.28,0.96,0,1.28,1.28,0,0.32,18.56,0,0,1.92,3.2,2.24
22Month,0.55,0,2.19,0,0,0,0,1.09,1.64,1.64,51.39,0.55,0,4.37,0.55,0,2.73,6.01,0,2.19,1.09,0,0,0,1.64,0,0,0,9.84,0,0.55,0,0,1.64
