stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,1.34,1.34,1.34,0,0,0,0,0,0,0,0,1.34,1.34,14.72,1.34,20.08,0,2.68,0,0,0
3Month,0,2.56,0,0.64,0.64,0.32,0.96,0.32,0.32,0,1.6,0,0.96,0.32,0,21.12,0.96,3.52,1.28,0.64,1.92
22Month,0,2.19,0,1.09,0,1.64,0,0.55,0,0.55,0,0,0,0,0,1.09,2.19,0.55,0,0,0.55
