stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,17.12,4.28,0,0,0,3.21,0,0,5.35,0,0
21Day,1.34,0,1.34,1.34,0,0,2.68,0,0,0,1.34,0,4.02,0,92.36,0,1.34,5.35,1.34,17.4,2.68,1.34,1.34,0,0
3Month,0,0.32,0.64,0,0,0.32,0.32,0.32,0,0.32,0.96,0,0,0.32,1.6,0,0,0.64,5.12,27.52,0.32,0,0.64,0.32,0
22Month,0,0,1.64,0,0.55,0,6.01,0.55,1.09,1.09,0,0.55,0.55,0,0.55,0,0.55,0,3.83,80.9,1.09,0,0.55,0,0.55
