stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,49.04,40.86,0,118.51,8.17,16.35,0,0,0,0,0,4.09,0,0,0,0,8.17,49.04,122.59,281.96,0,0,4.09,0,32.69,3747.23,0,0,65.38,0,0,0,0,0,0,4.09,0,0,0
72hpf,47.07,23.54,0,70.61,4.28,43.86,0,4.28,0,3.21,0,0,0,0,1.07,0,29.95,81.3,11.77,232.14,0,5.35,5.35,0,404.38,1995.16,4.28,0,145.49,0,0,0,65.26,2.14,0,6.42,0,0,0
21Day,16.06,1.34,2.68,50.86,1.34,60.23,0,9.37,0,0,0,0,1.34,1.34,21.42,2.68,2.68,10.71,2.68,30.79,0,0,2.68,1.34,57.56,341.33,1.34,0,6.69,5.35,0,0,17.4,2.68,1.34,0,0,0,12.05
3Month,0.32,0,0.32,38.07,0,0,0.32,1.28,0.96,10.56,0.32,0,11.84,12.8,3.2,5.44,1.28,4.8,6.4,12.16,2.24,0.32,0.64,0.64,2.24,5.44,0.32,0,0.32,1.92,0.32,90.23,0.32,0,0,0.32,2.88,21.76,24.96
22Month,0.55,2.19,3.28,14.76,0,0,0,0.55,1.09,24.05,3.83,0,47.01,21.87,5.47,20.23,1.09,1.09,15.31,3.28,0,4.37,0,0,0,3.28,2.19,19.13,0,1.09,0,12.03,0.55,0.55,0,0,0.55,0,11.48
