stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,4.28,3.21,0,0,0,0,0,0,0,0,0,0
21Day,0,0,6.69,1.34,0,0,0,0,0,0,0,4.02,1.34,6.69,0,0,0,2.68,0,0,0,0,0,0,1.34,0,0,0,1.34
3Month,0.32,0,11.52,0,0,2.88,0.32,0,5.76,1.6,5.44,2.88,2.88,0.32,0.32,0.32,0.32,0.32,0,0,0,0.32,0.96,0.32,0,0,0.64,1.6,3.2
22Month,0,0.55,7.11,0,0.55,1.64,3.28,1.64,23.51,0.55,6.01,3.28,3.28,2.73,0,0.55,0,0,0,0.55,0.55,0,1.09,0,0,0,0,0,1.64
