stage,Cardiomyocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,18.19,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,22.76,0,1.34,0,0,0
3Month,0.32,1.28,0,3.52,0.32,0.32,0.64,0.96,0,0.32,0,0,0,0,0.96,0.64,14.4
22Month,0,2.19,0.55,15.85,1.09,2.19,0,0,0.55,0,0.55,0,0,0,0,0,0
