stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,44.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0,0,24.52,114.42,0,0,20.43,0,0,0,0,4.09,0,0,0
72hpf,5.35,8.56,0,6.42,7.49,2.14,0,0,0,0,0,0,0,0,0,1.07,1.07,0,55.63,0,1.07,2.14,0,32.09,19.26,1.07,0,143.35,0,0,16.05,0,5.35,0,0,0
21Day,2.68,1.34,1.34,6.69,0,1.34,0,1.34,0,1.34,1.34,1.34,2.68,1.34,2.68,0,1.34,1.34,81.65,0,0,8.03,0,12.05,8.03,0,0,84.33,2.68,0,6.69,1.34,1.34,0,0,0
3Month,0.32,6.08,0,8.96,0.32,0,0,0,0.32,2.88,0.32,11.2,2.24,0.32,3.84,0.96,3.52,2.24,49.91,9.92,0,3.2,1.6,0,0.32,0.32,0.96,7.04,0.32,3.2,0,0,0.32,8,1.92,0.96
22Month,0,5.47,0,2.73,0,0,0.55,0,0,1.64,2.19,20.77,0,0.55,2.73,0,1.09,2.73,25.15,0,3.28,1.09,0,0.55,0,1.09,0,2.73,0.55,1.09,0,0,0,0,0,0
