stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,40.86,16.35,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,1.07,0,1.07,0,2.14,0,1.07,0,0,0,44.93,5.35,0,1.07,0,2.14,0,0,0,0
21Day,1.34,0,2.68,1.34,0,0,0,0,0,0,0,1.34,1.34,1.34,6.69,0,0,1.34,24.09,1.34,1.34,0,1.34,0,0,0,0,0
3Month,0.32,0.32,3.2,0,0.32,0,0,0,4.48,0.64,0,0.96,0,1.92,3.84,0.64,0,1.6,0.96,0,0,0,0.96,3.52,0.32,1.6,0.64,0.96
22Month,1.64,0.55,1.09,0,0,0.55,1.09,1.09,18.59,0,0,2.19,0,1.09,10.39,0.55,0.55,3.83,0.55,0,1.09,0,0,5.47,0,1.64,0,1.64
