stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,69.47,0,0,0,0,0,0,0,12.26,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,14.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,1.28,0,0.32,0,0.96,0.32,0.64,0.32,0.32,0,0,0,0.64,20.8,0.64
22Month,0.55,0,0,0,1.09,0,0,0,0,0.55,0,0,0,30.61,0
