stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,6.42,0,2.14,0,0,0,0,0,0,0,0,0,1.07,13.91,0,5.35,0,0,0,0,19.26,7.49,0,0,1.07,1.07,0,0,2.14,0,0,0
21Day,1.34,0,0,29.45,1.34,1.34,0,2.68,0,1.34,0,0,0,0,0,0,12.05,2.68,13.39,0,0,1.34,0,6.69,4.02,0,0,12.05,0,1.34,1.34,0,0,0,0
3Month,0,0.64,0.64,30.08,0,0,0.32,0,0.96,0.96,0,20.16,0.96,0.96,12.48,1.28,8.96,1.6,6.08,1.28,0.32,2.24,0.96,0.64,0.64,0.32,0.32,0.32,0.96,12.8,0,0,1.6,2.88,3.84
22Month,0,1.09,0,4.37,0,0,0.55,0,1.09,1.09,1.09,21.32,1.64,0.55,6.01,0,0,0.55,1.64,0.55,0.55,0.55,0.55,0.55,0.55,0,0.55,0,0.55,2.19,0,0,0,0,0
