stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,4.09,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,4.28,0,0,0,0,0,0,0,0,1.07,4.28,1.07,6.42,0,0,0,0,19.26,10.7,0,0,2.14,0,0,1.07,1.07,0,0,0,0
21Day,2.68,0,0,9.37,10.71,1.34,0,0,0,0,0,4.02,0,1.34,4.02,1.34,6.69,0,0,4.02,0,5.35,2.68,0,0,2.68,1.34,0,0,0,2.68,0,0,2.68
3Month,0,1.28,0,10.24,0,0,0.96,1.6,0,8.32,0.32,0,7.36,0.96,2.56,2.88,1.28,0.32,0,0.32,0.32,0.32,0,0,0,0,0,7.36,0,0,0,0.64,1.28,0.96
22Month,1.09,1.09,1.64,8.75,0,0,1.09,11.48,4.37,61.77,1.64,1.09,16.4,0,1.64,10.93,7.11,0,2.19,0,0,0,0,0.55,1.09,0,0,3.28,0.55,1.09,0,0,0,1.09
