stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,0,3.21,0,0,0,0,0,0
21Day,1.34,0,0,0,1.34,0,0,1.34,0,2.68,1.34,0,2.68,1.34,0,1.34,0,1.34,0
3Month,0,0.32,1.28,0.32,0,0.32,0.64,0.96,0,0.32,0.32,0.32,0,0,0.32,0,0.32,0,0.32
22Month,0,0,0.55,0,3.83,0,0,0.55,0.55,0.55,0.55,0,0,0,0,0,0,0,0
