stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Radial_glia
72hpf,0,1.07,0,0,0
3Month,0.32,0,0.32,0.64,0
22Month,0,0,0.55,0,0.55
