stage,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,8.03,1.34,0,0,0,0,0,0,0,0,2.68,0,2.68,0,0,0,0,0,0,0
3Month,12.48,0,0.32,0,2.88,0,0.32,0.64,0.64,0.32,41.59,0.32,0.32,0.32,0.32,0,0.32,8.32,3.2,0.32
22Month,6.01,0,0.55,0.55,14.76,0.55,0,0,0,0.55,37.17,0,0,0,0,1.09,0,0.55,0,0
