stage,Granulocyte,Immune_cell,Macrophage,Mesenchymal_cell,T_cell
24hpf,0,0,0,4.09,0
21Day,0,0,0,1.34,0
3Month,0.64,7.68,4.48,0.32,0.96
22Month,0,1.09,0,0.55,0
