stage,Epithelial_cell,Hepatocyte,Immune_cell,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
21Day,0,0,0,0,0,1.34,0,1.34,0
3Month,0.64,1.92,0.32,0.32,0.32,0,0,0,0.64
22Month,0,0.55,0,0,0,0,0.55,0.55,0
