stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,4.09,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,3.21,1.07,0,0,1.07,0,0,3.21,9.63,0
21Day,1.34,1.34,2.68,1.34,0,1.34,0,0,0,0,0,0,4.02,1.34,0,4.02,0,2.68,9.37,6.69,20.08,1.34
3Month,0,2.24,0,2.56,0.32,0.64,1.92,0.32,0.64,0.64,0.32,0.32,0,0,0,3.52,0,0.32,0,0,0.64,2.56
22Month,0,0,0,3.83,4.37,0.55,0,0,0,1.64,0,0,0,0,0.55,0,0,0.55,2.19,0,0.55,2.19
