stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,4.28,2.14,0,0,0,0,1.07,0,0,0,0,0,2.14,3.21,0,2.14,0,0,0,0,14.98,2.14,0,0,0,5.35,0,0,4.28,0,0,0,0,0,0
21Day,0,0,9.37,1.34,4.02,0,1.34,0,0,0,1.34,0,2.68,2.68,0,2.68,2.68,5.35,0,0,0,0,8.03,4.02,0,1.34,0,0,1.34,0,2.68,0,1.34,0,0,0,0
3Month,3.84,2.56,39.99,0,0,2.88,0.32,10.56,16.96,0,85.75,16.64,0.32,34.55,3.84,14.72,10.56,22.72,4.48,0.32,6.4,6.72,3.52,0.32,3.2,1.28,0,0.96,4.16,32.95,2.56,0.32,0,0.32,5.76,3.52,14.4
22Month,10.39,2.19,31.71,0.55,0,4.92,1.09,2.19,45.92,16.4,213.74,7.65,4.92,60.13,2.19,5.47,19.68,22.41,0,16.95,2.19,0.55,1.64,0.55,4.92,4.37,1.64,2.73,0.55,4.37,3.28,1.64,0,0,0.55,0,10.93
