stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,2.68,0,0,0
3Month,0,2.88,0,0.96,0,15.68,0.32,0.64,0,0,0.96,0,0,0.32,0,0,0.64,0,0,0,0.64
22Month,1.09,2.19,0.55,1.64,0.55,73.25,0,2.19,0.55,0.55,1.09,0.55,3.28,0,0,0,0.55,0,0.55,1.09,0
