stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,24.52,0,0,0,12.26,163.46,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,1.07,0,3.21,0,0,0,0,0,0,0,0,0,0,2.14,7.49,0,9.63,0,1.07,0,20.33,29.95,0,0,3.21,0,0,1.07,1.07,0,0,0,0
21Day,6.69,0,0,9.37,1.34,0,1.34,0,0,0,0,0,1.34,0,0,0,1.34,18.74,0,2.68,0,10.71,10.71,0,0,4.02,2.68,0,1.34,0,0,0,0,0
3Month,0,0.64,0,7.04,0,0,0,0.64,0.64,0,18.88,0.32,0.32,3.2,0.32,1.92,0.96,0.96,0.32,0,0.96,0,0,0.32,0,0.32,0,2.56,0.32,0,0,1.28,3.2,1.28
22Month,0.55,1.09,1.09,3.83,0,0.55,0,0.55,2.19,1.64,47.01,1.64,0.55,10.39,0,2.19,5.47,2.19,0,0.55,0,0,0,0.55,0.55,0,0.55,1.09,0.55,0,0,0.55,0,1.09
