stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell
24hpf,4.09,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,2.14,0,1.07,0,0
21Day,0,1.34,0,2.68,4.02,0,0,0,0
3Month,0.32,6.72,0.32,0,0,0,0,0.32,0.32
22Month,0.55,21.32,0,0,0,0,0,0,0
