stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,24.52,44.95,0,0,8.17,0,0,0,0,0,4.09,53.12,12.26,167.54,4.09,12.26,0,0,4.09
72hpf,0,0,0,0,0,0,0,0,0,5.35,0,3.21,5.35,13.91,0,2.14,0,4.28,0
21Day,2.68,1.34,13.39,4.02,0,0,2.68,0,2.68,0,0,2.68,5.35,5.35,0,0,0,0,0
3Month,0,0.32,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0.32,0,0
22Month,0,0,0,0,0,7.11,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0
