stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,77.64,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,0,0,5.35,1.07,0,0,0,0,0,1.07,0,1.07,4.28,7.49,4.28,0,0,256.75,14.98,0,0,8.56,0,0,6.42,1.07,0,0,0,0
21Day,1.34,0,1.34,4.02,0,0,0,0,0,0,0,0,0,6.69,10.71,1.34,0,0,78.97,6.69,1.34,1.34,4.02,1.34,1.34,2.68,1.34,0,0,0,0
3Month,0.32,0.32,1.92,0.64,0,0.32,0.32,0,3.84,0.32,0.96,2.88,0.32,0.64,10.88,0,0,1.28,1.92,0.32,2.56,0,0,0,5.12,0,0,0,0.32,1.92,0.32
22Month,0,0,2.19,0.55,0,0,1.64,1.09,10.93,0.55,0.55,3.83,0.55,0.55,9.29,2.73,0.55,0.55,2.19,0,3.28,0,0,0,2.73,0,0,0,0,0,0.55
