stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,20.43,0,4.09,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,0,1.07,0,9.63,0,1.07,0,4.28,5.35,0,12.84,0,1.07,1.07,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,13.39,0,2.68,0,2.68,1.34,0,16.06,1.34,0,0,2.68,0
3Month,0,0.96,0,0,0.64,0,0.32,0,0.32,0,1.28,1.6,0,0.32,0,0,0,0.32,0,0,0,0,0.64
22Month,0,1.64,0,0.55,1.09,1.09,10.39,1.64,0,0,2.73,0.55,0,0,0,0.55,1.64,0,0.55,1.64,3.83,0,0
