stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,16.35,16.35,4.09,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,5.35,0,3.21,0,0,0,1.07,0,0,0,0,1.07,0,2.14,18.19,3.21,5.35,0,1.07,0,0,22.47,6.42,0,0,3.21,0,0,0,2.14,0,0,0
21Day,0,0,0,12.05,0,5.35,0,0,0,0,0,0,0,0,0,1.34,0,9.37,2.68,0,0,0,0,0,0,2.68,1.34,1.34,1.34,1.34,0,0,0,0,0,0
3Month,0.32,1.92,1.6,23.68,0,0,0.32,0.32,1.6,9.92,0,0,76.15,22.4,0.64,8.32,2.24,5.12,8.32,5.44,1.6,0,1.28,1.6,0.32,0,1.92,0.96,0,2.56,2.24,0.32,0,0.64,0.32,7.04
22Month,0,12.03,3.28,31.71,0.55,0,2.19,0.55,8.2,58.49,12.57,0,270.05,45.37,3.83,21.32,4.37,7.65,53.57,7.65,0,4.92,2.19,0.55,2.73,0,7.11,1.09,0,1.64,0,0,0,0.55,0,18.59
