stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,16.35,0,4.09,0,0,0,0
72hpf,4.28,1.07,4.28,2.14,0,0,0,0,1.07,0,1.07,2.14,0,0,0,3.21,7.49,0,4.28,0,1.07,0,0
21Day,0,0,9.37,0,2.68,0,1.34,0,0,0,0,2.68,0,9.37,0,1.34,6.69,0,2.68,1.34,1.34,0,1.34
3Month,0,2.56,2.56,0.64,0,0.32,0,0.64,0,0.32,0,0.96,0.32,0,0,0,0,0.32,0,0,0,0.64,0
22Month,0,2.73,0,0,0,0,0,1.09,0,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0
