stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,4.28,0,0,0,0,0,0,0
21Day,0,0,2.68,0,1.34,0,1.34,0,0,29.45,0,0,0,1.34,2.68,1.34,0,0,0,2.68,8.03,0,0,0,0,33.46,0,0,0,0,0,0,2.68
3Month,0.32,0,0.32,0,0,0,0,12.8,0.32,0.32,0.32,0.32,0,6.72,0.32,0,0,0,0,0,23.68,0.32,0,0,0,1.92,0.64,0,0,0,0.32,0.32,17.28
22Month,39.36,1.64,141.04,1.64,0,1.64,33.89,595.85,7.11,183.68,3.28,1.64,2.19,1605.52,29.52,0,3.83,2.19,2.19,1.09,0,8.75,44.83,12.57,0,1.64,0.55,10.93,2.73,0.55,0,0,219.76
