stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,1.07,0,69.54,1.07,0,0,0,0
21Day,4.02,0,0,0,0,0,0,1.34,0,0,32.12,1.34,0,0,0,0
3Month,0.64,0.32,0,1.6,0,0.32,0.32,0.32,0,0,0,0,0,0,0,0
22Month,1.09,1.64,0.55,26.24,1.09,1.64,0,2.73,1.64,0.55,0,0,0.55,0.55,0.55,0.55
