stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Smooth_muscle_cell,T_cell
21Day,1.34,4.02,0,1.34,2.68,5.35,0,1.34,0,2.68,0,1.34
3Month,0,0.32,0.96,0,0,3.84,0.64,0,0.32,0,0.32,0.32
22Month,0,0,0,0.55,0,8.2,0,0.55,0,0,0,0
