stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,8.17,0,8.17,0,0,4.09,61.3,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,1.07,0,0,0,0,0,0,0,2.14,0,2.14,0,0,67.4,4.28,0,2.14,1.07,0,2.14,2.14,0,0
21Day,2.68,0,1.34,8.03,0,2.68,0,1.34,1.34,1.34,2.68,1.34,12.05,0,9.37,1.34,1.34,38.82,4.02,0,1.34,6.69,0,0,20.08,1.34,2.68
3Month,0,0.32,0,0.32,0,0,0,0.96,0,0,0,0,0,0.32,0.96,0,0,0,0,0.32,0,0,0.32,0,0,0,0
22Month,0,1.09,0.55,0,0,0,0.55,3.28,0,0,0.55,0,0,0.55,0,0,0,0,0.55,0,0,0,0,0,0.55,0,0
