stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,20.43,12.26,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,44.95,0,0,0,0,4.09,49.04,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,18.19,9.63,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,69.54,0,1.07,6.42,0,14.98,6.42,0,0,81.3,0,0,3.21,0,1.07,0,0,0
21Day,16.06,5.35,1.34,0,2.68,0,0,0,0,0,0,0,0,0,1.34,2.68,0,107.08,0,0,18.74,0,6.69,4.02,0,0,62.91,4.02,2.68,0,1.34,1.34,1.34,0,1.34
3Month,0,4.48,2.56,0.32,0,0,0.32,0.64,0.32,1.28,0,16.32,2.56,1.6,0,1.92,0.96,29.76,2.88,0,2.56,0.96,0.32,0,0.32,0.32,2.56,0,3.2,1.6,0,0.32,18.24,0.96,0.64
22Month,0,4.37,2.19,0,0,0.55,0,0,0.55,1.09,1.64,36.63,0.55,1.64,0.55,0,1.64,16.4,1.09,1.09,0,0,0,0,0.55,0,0.55,0,1.09,1.09,0,0,3.83,0,1.09
