stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,44.95,0,0,0,0,0,0,8.17,0,0,0,24.52,1581.44,8.17,8.17,0,0,0,12.26,130.76,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,8.56,1.07,0,69.54,8.56,0,0,0,0,0,0,0,0,0,3.21,1186.4,0,11.77,0,1.07,0,54.56,21.4,0,0,0,10.7,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,183.38,6.69,0,0,5.35,0,0,0,1.34,0,0,5.35,220.86,0,5.35,0,1.34,0,12.05,8.03,0,1.34,0,1.34,2.68,0,0,1.34,4.02,1.34,0,0
3Month,0,0.32,0.32,192.29,0,1.92,0,130.54,2.24,0,0,14.72,4.48,4.48,27.84,3.52,2.56,2.24,0,0.64,0.64,0.96,0,1.92,0.32,0,0,0.64,4.16,0,0,0,0,3.84,0.64
22Month,0,0.55,0,21.32,0,0,0.55,14.76,1.09,1.09,0,20.23,0,4.92,1.09,0.55,1.09,1.09,1.09,0,0,0,0,0.55,0.55,16.95,0,0,0,0,0,0,0,0,0
