stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,16.35,40.86,0,8.17,0,0,0,0,0,12.26,0,0,0,0,8.17,24.52,16.35,151.2,0,0,0,0,106.25,2030.94,0,0,12.26,0,0,4.09,0,0,8.17,0,0,0
72hpf,74.89,0,14.98,11.77,22.47,0,0,0,0,1.07,0,0,0,0,0,3.21,32.09,1.07,98.42,0,1.07,2.14,0,1336.17,175.45,0,3.21,80.23,0,0,17.12,0,4.28,5.35,0,0,0
21Day,33.46,0,14.72,1.34,2.68,0,0,0,0,0,0,1.34,0,0,1.34,0,4.02,1.34,45.51,0,0,9.37,0,84.33,30.79,0,2.68,8.03,4.02,4.02,0,1.34,1.34,0,0,0,0
3Month,2.24,0,7.68,0.64,0,0.64,0.64,0.64,0.64,0.96,0,5.44,1.92,0.32,0.96,0.32,3.2,0.32,19.2,4.48,0,1.28,0.32,11.2,3.52,3.52,14.72,0.32,2.24,121.9,0.64,0,0,0.32,0,16.64,0.64
22Month,0,0,0.55,0,0,0,0,0,0,0.55,0,24.05,0,1.09,1.64,0.55,0,0.55,10.39,0.55,1.64,0.55,0,1.64,0,1.09,2.73,0,0,112.61,0,0,0,0,0.55,0,0
