stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,32.69,0,0,0,0,0,4.09,0,0,0,0,0,4.09,53.12,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,22.47,1.07,4.28,0,0,0,0,0,0,0,0,0,11.77,439.68,0,3.21,0,1.07,0,0,35.3,9.63,0,3.21,0,0,2.14,1.07,1.07,0,0,0
21Day,2.68,0,0,76.3,1.34,4.02,0,1.34,0,0,0,0,0,0,0,16.06,242.27,1.34,1.34,0,0,1.34,0,8.03,1.34,0,6.69,1.34,0,0,0,4.02,0,0,1.34
3Month,0,0,0.64,279.32,0.64,0,0.96,0,0.64,1.6,0,9.28,3.84,0.32,5.44,17.28,57.27,0.96,2.24,0.64,0.32,0,0.32,2.24,0,0.96,0.32,1.6,1.92,0,0,0,3.84,1.92,2.24
22Month,0,0.55,0,83.09,0.55,0,0.55,0.55,1.09,2.19,1.09,24.05,0,1.09,1.64,3.83,5.47,1.64,2.73,0,1.64,0,0,0.55,0,0.55,0,0,0,0,0.55,0,0.55,0,0
