stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,4.09,0,32.69,0,0,4.09,0,0,0,20.43,0,0,0,0,8.17,4.09,204.32,44.95,0,0,0,0,8.17,314.65,0,0,0,16.35,0,0,0,0,0,0
72hpf,6.42,0,0,1.07,2.14,4.28,0,0,0,0,0,0,0,0,0,2.14,2.14,2.14,6.42,0,0,0,0,12.84,6.42,0,0,0,10.7,0,0,3.21,0,0,0
21Day,1.34,0,0,10.71,0,1.34,1.34,1.34,1.34,0,0,1.34,0,1.34,0,0,1.34,4.02,5.35,0,0,1.34,0,4.02,1.34,0,0,0,2.68,1.34,0,1.34,0,0,4.02
3Month,0.32,1.6,0,8.64,0,0,0,1.28,4.8,0,0,7.36,8,0.64,4.48,0.96,2.88,4.16,3.52,0.96,0,0.64,0.32,0.64,0.32,1.28,0.32,0,0,0,26.56,0.32,1.28,1.6,9.6
22Month,0,0.55,1.64,6.56,0,0,0,1.09,7.11,1.09,0,45.37,2.19,1.09,8.2,1.64,2.73,8.2,8.2,1.09,1.64,1.09,0,0,0,1.64,0.55,0.55,0,0,7.65,0.55,0,0,2.73
