stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4.09,0,12.26,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,4.09,40.86,4.09,0,0,0,0
72hpf,1.07,0,1.07,3.21,0,0,0,0,0,0,0,1.07,6.42,1.07,0,0,6.42,3.21,1.07,0,0,1.07,0
21Day,4.02,0,4.02,8.03,0,2.68,0,1.34,0,0,0,0,1.34,0,4.02,0,5.35,2.68,4.02,1.34,0,0,1.34
3Month,0,0.32,1.6,0,0,0,0.32,0.32,2.88,0.32,1.28,0,0.32,0.32,0,0,0,0,0,0,1.6,0,0.64
22Month,0,0.55,1.09,0,0.55,0,0,1.09,3.28,0,1.09,0.55,0,2.19,1.09,0.55,0,0,0,0,1.09,0,0
