stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,8.17,0,36.78,0,0,0
72hpf,1.07,2.14,0,0,0,0,4.28,7.49,0,0,1.07
21Day,2.68,4.02,1.34,0,0,4.02,1.34,0,1.34,0,0
3Month,0,0,0,0.32,0.32,0,0,0,0,0.96,0
