stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,12.26,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,1.07,0,3.21,1.07,0,0,0,0,0,0,0,0,0,0,3.21,7.49,0,0,2.14,0,0,0,0,0
21Day,2.68,1.34,6.69,1.34,4.02,0,0,2.68,0,5.35,1.34,2.68,0,1.34,0,4.02,1.34,1.34,5.35,0,0,0,0,0
3Month,0,0,0.96,0.32,0,0,16.96,0.64,0.32,0,0.32,0.32,0.32,0,0,0,0,0,0,0.32,2.56,0,0.32,0.64
22Month,0,0,1.09,0,0,2.19,21.32,1.64,0,0,2.73,0,0.55,0.55,0,0,0,0,0,0,1.09,0.55,0,0
