stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,4.09,12.26,0,0,0,0,0,4.09,0,0,12.26,4.09,98.07,0,4.09,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,0,1.07,1.07,3.21,6.42,13.91,1.07,0,1.07,0
21Day,0,0,5.35,1.34,1.34,0,1.34,0,0,2.68,0,6.69,0,5.35,0,2.68,0,1.34
3Month,0,0,0.32,0,0,0.64,0,0.32,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0.55,0,0.55,1.64,0.55,0.55,0,0,1.09,1.64,0,0,0,0,0,0
