stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,2.14,0,0,0,1.07,0
21Day,0,0,0,0,0,0,0,1.34,0,1.34,0,1.34,1.34,0,0,4.02,0
3Month,0,4.48,0,0,0,0.64,0.32,4.8,0.96,0,0.32,0,0,0,0.32,0.32,0
22Month,0.55,2.73,0,0.55,0.55,0.55,0,2.19,0.55,0,0,0,0,0.55,0.55,0,0.55
