stage,Hepatocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,12.26,0
72hpf,0,1.07,1.07,1.07,0,0
21Day,0,0,0,1.34,0,0
22Month,1.09,0.55,0,0,0,0.55
