stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0,9.37
3Month,0.64,0.64,0.32,1.92,0,0.64,0.32,0.32,0.96,0.32,0.32,0.32,0.32,0.32,0.32,0.64,31.99
22Month,0,0.55,0.55,0.55,0,0,0,0,0.55,0,0,0,0,0,0,0,3.28
