stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,4.09,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0
21Day,0,1.34,0,0,0,1.34,0,0,1.34,0,0
3Month,0,0,0.32,1.28,0,0,0.32,0,0,0,0
22Month,0.55,0,0,6.56,1.09,0,0,0.55,0,0,0.55
