stage,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Osteoblast,Pancreatic_cell,T_cell
72hpf,1.07,0,0,0,0,0,12.84,1.07,0,0
21Day,2.68,0,0,0,1.34,0,13.39,0,1.34,0
3Month,0,1.28,0.32,0.32,0,0,0,0,0,0.32
22Month,0,2.73,0,0,0,0.55,0,0,0,0
