stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,4.09,8.17,4.09,0,0,0,4.09,44.95,0,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,0,1.07,0,3.21,0,0,0,9.63,9.63,2.14,0,2.14,1.07,0,0
21Day,1.34,0,9.37,0,0,5.35,0,1.34,2.68,6.69,12.05,0,0,1.34,2.68,2.68,2.68,0,0,0,0,0
3Month,0.32,0.96,5.44,0.64,1.6,0,0.96,0.32,3.52,1.6,2.56,0.64,0.32,0.64,0.32,0,0.64,0.64,0.32,0,0.64,1.6
22Month,0,0.55,0,0,1.64,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0
