stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,69.47,53.12,0,1156.45,24.52,4.09,0,0,0,347.34,0,0,0,4.09,20.43,49.04,81.73,216.58,0,0,0,0,114.42,16447.78,0,0,0,24.52,0,0,0,0,0,437.25,0,0,0
72hpf,27.81,2.14,0,39.58,19.26,21.4,0,0,0,0,0,0,1.07,1.07,5.35,80.23,6.42,33.16,0,2.14,0,0,1028.07,1833.62,1.07,6.42,0,36.37,2.14,1.07,92,4.28,2.14,126.24,0,0,0
21Day,9.37,1.34,1.34,161.96,18.74,22.76,0,0,0,0,1.34,0,17.4,13.39,17.4,54.88,0,21.42,1.34,0,0,0,310.54,931.62,0,2.68,0,17.4,38.82,8.03,52.2,9.37,6.69,22.76,0,0,1.34
3Month,0,0,0.64,122.54,1.92,0,0.64,1.92,0.96,0,14.4,5.12,0.32,4.48,3.84,72.95,2.24,2.88,0.64,0,0.96,6.08,1.28,3.84,0.96,0,0,0.32,1.28,85.11,2.24,0.32,0,5.12,1.6,33.59,1.28
22Month,0.55,0,0.55,71.07,0,0,1.09,0,2.73,0,22.96,0,1.09,3.83,0.55,18.59,2.73,3.28,0,1.64,0,0,2.19,8.2,1.09,0,0.55,0,0,33.89,1.09,0,0,1.64,0,0,0
