stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Keratinocyte,Macrophage,Neural_cell
72hpf,0,0,0,0,0,0,0,1.07
21Day,0,1.34,1.34,0,0,0,4.02,1.34
3Month,0.32,0,0,0.64,0,0,0,0
22Month,3.28,0,0,0,2.19,0.55,0.55,0
