stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,7.49,5.35,0,0,1.07,0,0,7.49,3.21,0,0,0
21Day,1.34,0,0,6.69,0,0,0,0,0,0,0,0,5.35,0,1.34,1.34,0,0,0,4.02,4.02,0,0,1.34,0,0,28.11,80.31,0,0,1.34
3Month,0.32,3.2,0.32,5.12,0.32,0.32,0.32,2.24,0,16.96,1.92,3.84,1.92,2.24,3.52,1.6,0.32,0,1.92,0.96,0,0.64,2.56,0.32,0.96,281.24,0.32,0,2.56,139.82,2.88
22Month,0,4.92,0.55,1.09,0,0,0,4.37,2.73,28.43,0.55,1.64,0,0,1.64,0,0.55,0.55,0,0,0,0.55,1.09,0,0.55,4.37,44.83,0,0,1.09,0
