stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Radial_glia
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,0,4.02,0,0,0
3Month,0.32,0.32,47.03,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0,0,0,0,1.28,0
22Month,0.55,0.55,86.37,0,0,2.19,0,0,1.64,0.55,1.64,0.55,0.55,0.55,0.55,0,0.55
